timestamp,Active_Power,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation
2018/2/2 19:30,0,2.353599151,0.912808299
2018/2/2 19:45,0,2.083975792,0.663178722
2018/2/2 20:00,0,2.088897268,0.699407359
2018/2/2 20:15,0,1.78098468,0.558030645
2018/2/2 20:30,0,1.783499678,0.621157825
2018/2/2 20:45,0,2.099970818,0.70539401
2018/2/2 21:00,0,2.452850659,0.987600307
2018/2/2 21:15,0,2.405849775,0.936365445
2018/2/2 21:30,0,2.062942505,0.737189611
2018/2/2 21:45,0,2.441586256,1.055780232
2018/2/2 22:00,0,2.343571663,0.879623353
2018/2/2 22:15,0,2.103484829,0.690597673
2018/2/2 22:30,0,2.253237804,0.766663671
2018/2/2 22:45,0,2.517752409,1.048594833
2018/2/2 23:00,0,2.389659087,0.877710998
2018/2/2 23:15,0,2.703564962,1.193425059
2018/2/2 23:30,0,2.341301997,0.831848125
2018/2/2 23:45,0,2.183907271,0.768545429
2018/2/3 0:00,0,2.576877435,1.095387618
2018/2/3 0:15,0,2.255050977,0.843029777
2018/2/3 0:30,0,2.581745624,1.086653948
2018/2/3 0:45,0,2.799066385,1.319969654
2018/2/3 1:00,0,2.528444528,1.009166738
2018/2/3 1:15,0,2.34776775,0.862823665
2018/2/3 1:30,0,2.266459385,0.782557507
2018/2/3 1:45,0,2.187122424,0.737877548
2018/2/3 2:00,0,2.284724235,0.843184114
2018/2/3 2:15,0,2.318782488,0.842850387
2018/2/3 2:30,0,2.144222657,0.694588423
2018/2/3 2:45,0,2.56825304,1.053707321
2018/2/3 3:00,0,2.489386797,1.002172132
2018/2/3 3:15,0,2.408707857,0.899038017
2018/2/3 3:30,0,2.095417738,0.660390377
2018/2/3 3:45,0,2.263196309,0.794070045
2018/2/3 4:00,0,2.619864623,1.143488526
2018/2/3 4:15,0,3.011551857,1.476666649
2018/2/3 4:30,0,3.192168633,1.732082069
2018/2/3 4:45,0,3.038934787,1.464135349
2018/2/3 5:00,0,2.099052072,0.648841461
2018/2/3 5:15,0,2.348779917,0.813461701
2018/2/3 5:30,0,2.480262756,0.996185819
2018/2/3 5:45,0,2.678774675,1.160790761
2018/2/3 6:00,0,2.301523209,0.841251532
2018/2/3 6:15,0,5.433466275,3.784010728
2018/2/3 6:30,0.061288884,23.87804095,19.51430607
2018/2/3 6:45,0.136644468,38.55657069,30.23536746
2018/2/3 7:00,0.23611113,51.33160019,40.43997447
2018/2/3 7:15,0.456733346,56.85262553,46.47543589
2018/2/3 7:30,0.935688913,198.0020955,71.12233861
2018/2/3 7:45,1.140511076,262.6077728,150.1741384
2018/2/3 8:00,0.879777729,180.7580566,168.6233266
2018/2/3 8:15,0.744799872,159.2772369,148.9513652
2018/2/3 8:30,0.944777787,188.8214925,161.6851857
2018/2/3 8:45,1.55664432,312.6183268,248.6211395
2018/2/3 9:00,2.007377704,405.3362122,286.9675089
2018/2/3 9:15,3.159177701,631.5934245,191.4665375
2018/2/3 9:30,3.638155619,804.041158,190.6223195
2018/2/3 9:45,3.157866558,665.516449,189.8712921
2018/2/3 10:00,3.872311354,816.2026571,170.9113821
2018/2/3 10:15,3.722666899,741.1727499,123.879893
2018/2/3 10:30,4.320222219,914.7809855,116.2477646
2018/2/3 10:45,4.448466778,965.4144083,126.4716034
2018/2/3 11:00,4.395888964,974.8850098,153.8011271
2018/2/3 11:15,4.034644604,802.6407064,201.6856283
2018/2/3 11:30,4.857422511,1070.187663,138.5376155
2018/2/3 11:45,4.575510979,1021.943563,219.2903036
